masse_A
t	x	y
4,300000000E0	9,891024985E-1	1,510447515E1
4,333333333E0	1,019655148E0	1,289605697E1
4,366666667E0	1,048193110E0	1,092312435E1
4,400000000E0	1,035635450E0	9,036124325E0
4,433333333E0	1,051381541E0	7,190889778E0
4,466666667E0	1,114541575E0	7,061117369E0
4,500000000E0	1,230504352E0	7,018768170E0
4,533333333E0	1,168977002E0	7,036488262E0
4,566666667E0	1,162996100E0	7,797768717E0
4,600000000E0	1,741178959E0	1,010605740E1
4,633333333E0	2,007602028E0	1,162470254E1
4,666666667E0	1,914127772E0	1,418238957E1
4,700000000E0	2,062378445E0	1,619991826E1
4,733333333E0	2,116376963E0	1,871248513E1
4,766666667E0	2,169759256E0	2,078744134E1
4,800000000E0	2,197663989E0	2,313178191E1
4,833333333E0	2,263763991E0	2,497445672E1
4,866666667E0	2,202674150E0	2,717898845E1
4,900000000E0	2,135769203E0	2,808627799E1
4,933333333E0	2,219714254E0	2,898975543E1
4,966666667E0	2,221250653E0	2,962327671E1
5,000000000E0	2,197416383E0	2,959078118E1
5,033333333E0	2,143542854E0	2,973498750E1
5,066666667E0	2,104010889E0	2,902856948E1
5,100000000E0	2,097497038E0	2,831310297E1
5,133333333E0	2,053962555E0	2,691535762E1
5,166666667E0	2,013129811E0	2,526967168E1
5,200000000E0	2,037141537E0	2,361012307E1
5,233333333E0	2,029459276E0	2,173904048E1
5,266666667E0	1,968791730E0	2,024398973E1
5,300000000E0	1,932606665E0	1,865864228E1
5,333333333E0	1,940497264E0	1,693600318E1
5,366666667E0	1,838742239E0	1,547623011E1
5,400000000E0	1,774077467E0	1,466858573E1
5,433333333E0	1,681416879E0	1,372733561E1
5,466666667E0	1,800324464E0	1,342554360E1
5,500000000E0	1,888570220E0	1,285197419E1
5,533333333E0	1,836595554E0	1,305465296E1
5,566666667E0	1,765249572E0	1,324282714E1
5,600000000E0	1,886784494E0	1,380674782E1
5,633333333E0	1,913070633E0	1,434257673E1
5,666666667E0	1,932786194E0	1,575329825E1
5,700000000E0	1,943306450E0	1,703557604E1
5,733333333E0	1,960735356E0	1,871657054E1
5,766666667E0	1,988293931E0	2,011911851E1
5,800000000E0	2,004123599E0	2,177392818E1
5,833333333E0	2,022633188E0	2,302419637E1
5,866666667E0	2,030403879E0	2,394696270E1
5,900000000E0	2,034030549E0	2,487617933E1
5,933333333E0	2,031836847E0	2,584661756E1
5,966666667E0	2,070892050E0	2,618675412E1
6,000000000E0	2,044474185E0	2,612643649E1
6,033333333E0	2,029462347E0	2,616648674E1
6,066666667E0	2,066031493E0	2,596654459E1
6,100000000E0	2,106277882E0	2,586595707E1
6,133333333E0	2,091398702E0	2,496125399E1
6,166666667E0	2,081868733E0	2,399285499E1
6,200000000E0	2,134431801E0	2,283598106E1
6,233333333E0	2,183461976E0	2,136485221E1
6,266666667E0	2,157512381E0	2,060700438E1
6,300000000E0	2,123471055E0	1,989261869E1
6,333333333E0	2,134043410E0	1,894065928E1
6,366666667E0	2,159285449E0	1,790863662E1
6,400000000E0	2,165717975E0	1,697265000E1
6,433333333E0	2,183002243E0	1,599793284E1
6,466666667E0	2,116145907E0	1,583335236E1
6,500000000E0	2,085611878E0	1,567198037E1
6,533333333E0	2,074852167E0	1,578118118E1
6,566666667E0	2,067248276E0	1,583515849E1
6,600000000E0	2,095534943E0	1,644413593E1
6,633333333E0	2,082013832E0	1,665230036E1
6,666666667E0	2,063605756E0	1,710729231E1
6,700000000E0	2,060389413E0	1,786978360E1
6,733333333E0	2,058060611E0	1,876761230E1
6,766666667E0	2,053972977E0	1,960283563E1
6,800000000E0	2,049103655E0	2,058167430E1
6,833333333E0	2,047065785E0	2,139043639E1
6,866666667E0	2,008929673E0	2,189440197E1
6,900000000E0	1,953767124E0	2,242867549E1
6,933333333E0	1,994056437E0	2,285424717E1
6,966666667E0	2,000848583E0	2,318563481E1
7,000000000E0	2,007569304E0	2,340445553E1
7,033333333E0	2,026214560E0	2,363298969E1
7,066666667E0	2,012170863E0	2,386311894E1
7,100000000E0	1,992987203E0	2,396519286E1
7,133333333E0	1,992087816E0	2,357529549E1
7,166666667E0	1,998890680E0	2,309937015E1
7,200000000E0	1,985228695E0	2,276311748E1
7,233333333E0	1,985358813E0	2,225012483E1
7,266666667E0	1,979263446E0	2,150876141E1
7,300000000E0	1,984326396E0	2,093052497E1
7,333333333E0	1,996897530E0	2,017440105E1
7,366666667E0	1,993993510E0	1,988167665E1
7,400000000E0	2,029623918E0	1,909701008E1
7,433333333E0	2,056432410E0	1,823948501E1
7,466666667E0	2,043753252E0	1,815106079E1
7,500000000E0	2,034134867E0	1,810555213E1
7,533333333E0	2,041368206E0	1,803424798E1
7,566666667E0	2,044865819E0	1,799812720E1
7,600000000E0	2,042465480E0	1,796637575E1
7,633333333E0	2,044628147E0	1,794779559E1
7,666666667E0	2,043296419E0	1,798897113E1
7,700000000E0	2,042919283E0	1,803841808E1
7,733333333E0	2,096037761E0	1,890789378E1
7,766666667E0	2,163024584E0	1,973829402E1
7,800000000E0	2,085257561E0	2,005174907E1
7,833333333E0	2,049119668E0	2,061391025E1
7,866666667E0	2,094541275E0	2,108545276E1
7,900000000E0	2,109604009E0	2,152175689E1
7,933333333E0	2,086659611E0	2,182009742E1
7,966666667E0	2,033999879E0	2,201843153E1
8,000000000E0	2,070688622E0	2,214189712E1
8,033333333E0	2,300456039E0	2,249614434E1
8,066666667E0	2,085531098E0	2,276043234E1
8,100000000E0	1,997238576E0	2,291615311E1
8,133333333E0	2,061479407E0	2,291139919E1
8,166666667E0	2,096285523E0	2,291783932E1
8,200000000E0	2,024899932E0	2,264712408E1
8,233333333E0	1,943227015E0	2,219611082E1
8,266666667E0	2,023612219E0	2,181994475E1
